,link-rumah-href,Judul,Alamat,Kamar Tidur,Kamar Mandi,Harga,Luas Bangunan,Luas Tanah,Listrik,Jenis Interior,Tempat Parkir,Latitude,Longitude,Harga per m^2,Interior_Lengkap,Interior_Multiple options available,Interior_Sebagian,Interior_Tak Berperabot
3495,https://www.rumah.com/listing-properti/dijual-dijual-murah-butuh-cepat-rumah-di-margahayu-raya-oleh-dian-20671411,Rumah murah di Margahayu raya dekat griya,"Margahayu raya, Margahayu, Bandung, Jawa Barat",4,2,840000000.0,100.0,144.0,1300,Multiple options available,1,0.7893,113.9213,583333.0,0,1,0,0
3496,https://www.rumah.com/listing-properti/dijual-jual-cepat-rumah-lt-136-dalam-komplek-grand-sharon-residence-soekarno-hatta-oleh-dian-20086544,Rumah bagus murah lingkungan cluster elit grand sharon residence,"Soekarno Hatta, Bandung, Jawa Barat",3,2,1100000000.0,100.0,136.0,1300,Tak Berperabot,2,-6.9426866,107.6500122,808823.0,0,0,0,1
3497,https://www.rumah.com/listing-properti/dijual-jual-cepat-rumah-bagus-siap-huni-di-margahayu-raya-dekat-mim-oleh-dian-20532246,Rumah murah bagus siap huni di komplek Margahayu raya,"Margahayu raya, Margahayu, Bandung, Jawa Barat",4,2,795000000.0,100.0,102.0,4400,Tak Berperabot,1,-6.9667694,107.5757511,779411.0,0,0,0,1
3498,https://www.rumah.com/listing-properti/dijual-di-jual-rumah-paling-murah-di-arcamanik-1-lantai-oleh-noviana-hidayat-20914617,Di jual rumah paling murah di Arcamanik 1 lantai,"Arcamanik, Arcamanik, Bandung, Jawa Barat",4,1,1100000000.0,200.0,250.0,2200,Multiple options available,4,0.7893,113.9213,440000.0,0,1,0,0
3499,https://www.rumah.com/listing-properti/dijual-rumah-minimalis-oleh-t-budiman-20914622,Rumah Minimalis Baru Dua Lantai,"Taman Kopo Indah 3, Taman Kopo Indah, Bandung, Jawa Barat",3,2,1275000000.0,135.0,80.0,2200,Multiple options available,1,0.7893,113.9213,1593750.0,0,1,0,0
3500,https://www.rumah.com/listing-properti/dijual-town-house-oleh-t-budiman-20914625,"Town House,Geger Kalong","GegerKalong, Geger Kalong, Bandung, Jawa Barat",3,2,2500000000.0,110.0,200.0,3500,Multiple options available,1,0.7893,113.9213,1250000.0,0,1,0,0
3501,https://www.rumah.com/listing-properti/dijual-di-jual-rumah-murah-di-margahayu-dkt-mim-bandung-oleh-noviana-hidayat-20914627,Di jual rumah murah di Margahayu dkt mimbandung,"Arcamanik, Arcamanik, Bandung, Jawa Barat",4,2,800000000.0,100.0,150.0,1300,Multiple options available,1,0.7893,113.9213,533333.0,0,1,0,0
3502,https://www.rumah.com/listing-properti/dijual-rumah-minimalis-oleh-t-budiman-20914635,Rumah Minimalis,"Taman Kopo Indah 1, Taman Kopo Indah, Bandung, Jawa Barat",3,2,899000000.0,85.0,65.0,1300,Multiple options available,1,0.7893,113.9213,1383076.0,0,1,0,0
3503,https://www.rumah.com/listing-properti/dijual-rumah-oleh-t-budiman-20914639,Rumah Kopo Permai,"Kopo Permai, Kopo Permai, Bandung, Jawa Barat",3,3,1300000000.0,90.0,190.0,1300,Multiple options available,1,0.7893,113.9213,684210.0,0,1,0,0
3504,https://www.rumah.com/listing-properti/dijual-margahayu-permai-kopo-oleh-irma-rona-20873417,Di jual rumah 2 lantai siap huni Margahayu permai Kopo bandung,"Jl raya kopo, Kopo, Bandung, Jawa Barat",5,4,1500000000.0,300.0,200.0,1300,Multiple options available,2,0.7893,113.9213,750000.0,0,1,0,0
